"V1" "V2" "V3" "V4" "V5" "V6"
"1" "NBC" 1.9444 1.0272 3.6806 2.9 2.9
"2" "Kraken" 1.8569 1.1806 2.9206 5.7 5.7
"3" "CLARK" 1.8494 1.1749 2.9111 5.6 5.6
"4" "OneCodex" 1.8033 1.1464 2.8368 5.7 5.7
"5" "LMAT" 1.7562 1.062 2.9044 4.6 4.6
"6" "MEGAN" 1.7205 1.0785 2.7446 5.3 5.3
"7" "MG-RAST" 1.7128 1.0702 2.7413 5.3 5.3
"8" "GOTTCHA" 1.6893 1.0239 2.7871 4.6 4.6
"9" "phymmBL" 1.6827 0.897 3.1567 2.9 2.9
"10" "QIIME2" 1.682 0.9392 3.0123 3.4 3.4
"11" "CARMA3" 1.6799 0.9124 3.0932 3.1 3.1
"12" "Genometa" 1.6406 0.9955 2.7039 4.7 4.7
"13" "taxator-tk" 1.6366 0.9933 2.6966 4.7 4.7
"14" "BMP" 1.6249 0.9716 2.7173 4.4 4.4
"15" "mothur" 1.5591 0.9586 2.5359 4.9 4.9
"16" "MAPseq" 1.5584 0.8767 2.7699 3.5 3.5
"17" "QIIME" 1.411 0.8999 2.2124 5.7 5.7
"18" "RAIphy" 1.3697 0.7439 2.5222 3.1 3.1
"19" "Treephyler" 1.248 0.5448 2.8588 1.7 1.7
"20" "MLTreeMap" 1.2062 0.5148 2.8261 1.6 1.6
"21" "MetaPhlAn" 1.0928 0.6554 1.8223 4.4 4.4
"22" "MetaPhyler" 1.0791 0.6676 1.7441 5 5
"23" "PhyloPythiaS" 1.0472 0.5546 1.9772 2.9 2.9
"24" "mOTU" 1.0021 0.5949 1.688 4.3 4.3
